Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3048138,2959357,3056007,2746923,3408939,-4.75%,-7.52%,4.11%,1.08%
2,2942390,2773485,2942815,2542624,3378547,-3.50%,-6.31%,5.89%,2.81%
3,2869392,2643868,2830856,2380189,3360087,-2.47%,-4.66%,7.28%,4.86%
4,2756866,2483076,2746249,2231375,3336442,-4.02%,-6.18%,5.04%,2.68%
5,2641542,2325713,2573033,2027682,3274053,-4.40%,-6.55%,5.06%,2.70%
6,2540906,2186812,2457814,1848317,3224131,-4.14%,-6.29%,5.72%,3.35%
7,2441309,2053857,2359864,1764175,3203376,-4.17%,-6.32%,6.14%,3.75%
8,2382656,1959445,2348205,1624117,3148307,-2.69%,-4.87%,7.96%,5.54%
9,2265734,1821399,2197353,1493336,3069184,-5.30%,-7.43%,5.94%,3.56%
10,2187499,1718970,2086678,1384742,3149119,-4.60%,-6.74%,7.44%,5.02%
11,2069857,1588404,1981558,1293887,3241329,-6.27%,-8.46%,6.79%,4.29%
12,1911014,1432136,1838801,1030950,2991704,-9.08%,-11.21%,5.36%,2.89%
13,1761285,1288992,1715836,855354,2706533,-9.88%,-11.99%,6.78%,4.28%
14,1609135,1150040,1572119,616321,2575359,-13.35%,-15.38%,6.68%,4.18%
15,1484734,1036261,1440069,430747,2533632,nan%,nan%,5.39%,2.92%
16,1370652,934217,1257436,309648,2424783,nan%,nan%,5.53%,3.05%
17,1246168,829464,1194691,98605,2312924,nan%,nan%,5.91%,3.42%
18,1118792,727227,1003650,0,2204520,nan%,nan%,6.15%,3.66%
19,969246,615255,791269,0,2139024,nan%,nan%,4.88%,2.42%
20,824977,511402,610625,0,1942307,nan%,nan%,5.18%,2.71%
21,684302,415067,392774,0,1655153,nan%,nan%,6.60%,4.31%
22,529221,314091,76432,0,1514379,nan%,nan%,4.73%,2.48%
