Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6102480,5924737,6089820,5829252,6347087,3.08%,0.08%,6.39%,3.29%
2,6546496,6170700,6500558,6185455,7030912,7.27%,4.15%,7.25%,4.13%
3,7048294,6494324,7010314,6552943,7647820,7.67%,5.25%,7.60%,5.18%
4,7529469,6781701,7461868,7016961,8118132,6.84%,4.44%,6.78%,4.38%
5,8039150,7077971,8013669,7285350,8904211,6.73%,4.33%,6.66%,4.27%
6,8613330,7413002,8546501,7808683,9668043,7.12%,4.71%,7.05%,4.64%
7,9272666,7801031,9098793,8384920,10682260,7.66%,5.24%,7.58%,5.16%
8,9991347,8216669,9859107,8775436,11296008,7.79%,5.36%,7.69%,5.27%
9,10695038,8597624,10564141,9225341,12220203,7.01%,4.61%,7.41%,4.99%
10,11231393,8825800,11162036,9663339,12835866,5.01%,2.65%,7.59%,5.17%
11,12137024,9313925,12072639,10583025,13911657,8.08%,5.55%,7.84%,5.31%
12,13016758,9754913,12881472,11246562,14890898,7.27%,4.76%,7.05%,4.54%
13,14083739,10307149,14222503,12139588,16169927,8.26%,5.72%,8.01%,5.47%
14,15132347,10815011,15215523,12938040,17198220,7.47%,4.96%,7.30%,4.78%
15,16295359,11373251,16567863,13697010,18525537,7.67%,5.14%,7.52%,5.00%
16,17388160,11851528,17490771,14761279,20272963,6.67%,4.17%,6.53%,4.04%
17,18652856,12415554,18576794,15604878,21400630,7.25%,4.74%,7.10%,4.59%
18,19969056,12980109,19850888,16426424,23688938,7.04%,4.53%,6.92%,4.42%
19,21425231,13600234,21325712,17442858,24662936,7.21%,4.70%,7.15%,4.63%
20,22832817,14154040,22789437,18378363,26956282,6.53%,4.04%,6.45%,3.95%
21,24489680,14854332,24608485,20020579,29689421,7.22%,4.92%,7.15%,4.84%
22,26146837,15518090,25882962,21342807,31624327,6.71%,4.41%,6.68%,4.39%
23,28161206,16353830,27991843,22963813,34133876,7.65%,5.33%,7.58%,5.27%
24,30265176,17197310,29710695,24125865,37023743,7.48%,5.17%,7.50%,5.18%
25,32482580,18059967,32279867,25617452,40436759,7.26%,4.95%,7.27%,4.96%
26,34984016,19032034,34368490,27170821,43931930,7.59%,5.27%,7.59%,5.27%
27,37457111,19938795,36300326,29668798,47291925,7.15%,4.85%,7.24%,4.93%
28,40180050,20927831,38688842,31855873,50778450,7.24%,4.93%,7.32%,5.01%
29,42773302,21798952,41368628,34150210,53343557,6.40%,4.11%,6.49%,4.20%
