Year,BROKERAGE-1 $Current(mean),BROKERAGE-1 $Current(median),BROKERAGE-1 $Current(p10),BROKERAGE-1 $Current(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Current(mean),BROKERAGE-1__agg_nom $Current(median),BROKERAGE-1__agg_nom $Current(p10),BROKERAGE-1__agg_nom $Current(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Current(mean),BROKERAGE-1__agg_nom_med $Current(median),BROKERAGE-1__agg_nom_med $Current(p10),BROKERAGE-1__agg_nom_med $Current(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Current(mean),BROKERAGE-1__agg_real $Current(median),BROKERAGE-1__agg_real $Current(p10),BROKERAGE-1__agg_real $Current(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Current(mean),BROKERAGE-1__inv_med $Current(median),BROKERAGE-1__inv_med $Current(p10),BROKERAGE-1__inv_med $Current(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Current(mean),BROKERAGE-2 $Current(median),BROKERAGE-2 $Current(p10),BROKERAGE-2 $Current(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Current(mean),BROKERAGE-2__agg_nom $Current(median),BROKERAGE-2__agg_nom $Current(p10),BROKERAGE-2__agg_nom $Current(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Current(mean),BROKERAGE-2__agg_nom_med $Current(median),BROKERAGE-2__agg_nom_med $Current(p10),BROKERAGE-2__agg_nom_med $Current(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Current(mean),BROKERAGE-2__agg_real $Current(median),BROKERAGE-2__agg_real $Current(p10),BROKERAGE-2__agg_real $Current(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Current(mean),BROKERAGE-2__inv_med $Current(median),BROKERAGE-2__inv_med $Current(p10),BROKERAGE-2__inv_med $Current(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Current(mean),ROTH_IRA-1 $Current(median),ROTH_IRA-1 $Current(p10),ROTH_IRA-1 $Current(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Current(mean),ROTH_IRA-1__agg_nom $Current(median),ROTH_IRA-1__agg_nom $Current(p10),ROTH_IRA-1__agg_nom $Current(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Current(mean),ROTH_IRA-1__agg_nom_med $Current(median),ROTH_IRA-1__agg_nom_med $Current(p10),ROTH_IRA-1__agg_nom_med $Current(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Current(mean),ROTH_IRA-1__agg_real $Current(median),ROTH_IRA-1__agg_real $Current(p10),ROTH_IRA-1__agg_real $Current(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Current(mean),ROTH_IRA-1__inv_med $Current(median),ROTH_IRA-1__inv_med $Current(p10),ROTH_IRA-1__inv_med $Current(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Current(mean),ROTH_IRA-2 $Current(median),ROTH_IRA-2 $Current(p10),ROTH_IRA-2 $Current(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Current(mean),ROTH_IRA-2__agg_nom $Current(median),ROTH_IRA-2__agg_nom $Current(p10),ROTH_IRA-2__agg_nom $Current(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Current(mean),ROTH_IRA-2__agg_nom_med $Current(median),ROTH_IRA-2__agg_nom_med $Current(p10),ROTH_IRA-2__agg_nom_med $Current(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Current(mean),ROTH_IRA-2__agg_real $Current(median),ROTH_IRA-2__agg_real $Current(p10),ROTH_IRA-2__agg_real $Current(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Current(mean),ROTH_IRA-2__inv_med $Current(median),ROTH_IRA-2__inv_med $Current(p10),ROTH_IRA-2__inv_med $Current(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Current(mean),TRAD_IRA-1 $Current(median),TRAD_IRA-1 $Current(p10),TRAD_IRA-1 $Current(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Current(mean),TRAD_IRA-1__agg_nom $Current(median),TRAD_IRA-1__agg_nom $Current(p10),TRAD_IRA-1__agg_nom $Current(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Current(mean),TRAD_IRA-1__agg_nom_med $Current(median),TRAD_IRA-1__agg_nom_med $Current(p10),TRAD_IRA-1__agg_nom_med $Current(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Current(mean),TRAD_IRA-1__agg_real $Current(median),TRAD_IRA-1__agg_real $Current(p10),TRAD_IRA-1__agg_real $Current(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Current(mean),TRAD_IRA-1__inv_med $Current(median),TRAD_IRA-1__inv_med $Current(p10),TRAD_IRA-1__inv_med $Current(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Current(mean),TRAD_IRA-2 $Current(median),TRAD_IRA-2 $Current(p10),TRAD_IRA-2 $Current(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Current(mean),TRAD_IRA-2__agg_nom $Current(median),TRAD_IRA-2__agg_nom $Current(p10),TRAD_IRA-2__agg_nom $Current(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Current(mean),TRAD_IRA-2__agg_nom_med $Current(median),TRAD_IRA-2__agg_nom_med $Current(p10),TRAD_IRA-2__agg_nom_med $Current(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Current(mean),TRAD_IRA-2__agg_real $Current(median),TRAD_IRA-2__agg_real $Current(p10),TRAD_IRA-2__agg_real $Current(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Current(mean),TRAD_IRA-2__inv_med $Current(median),TRAD_IRA-2__inv_med $Current(p10),TRAD_IRA-2__inv_med $Current(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,361200,359388,341738,383507,5.80%,2.72%,,,,,-25.59%,,,,,,-25.97%,,,,,,-27.76%,,,,,,5.43%,,256799,255893,247068,267953,5.80%,2.72%,,,,,5.80%,,,,,,5.43%,,,,,,2.72%,,,,,,5.43%,,277185,277895,265151,290113,7.56%,4.43%,,,,,14.20%,,,,,,14.49%,,,,,,10.87%,,,,,,7.85%,,133048,133389,127272,139254,7.56%,4.43%,,,,,14.20%,,,,,,14.49%,,,,,,10.87%,,,,,,7.85%,,3601929,3591845,3453615,3750036,6.51%,3.41%,,,,,6.00%,,,,,,5.70%,,,,,,2.91%,,,,,,6.21%,,1337859,1334113,1282771,1392870,6.51%,3.41%,,,,,6.00%,,,,,,5.70%,,,,,,2.91%,,,,,,6.21%,
2,375416,375084,342977,414675,6.33%,3.24%,,,,,7.02%,,,,,,6.90%,,,,,,3.90%,,,,,,6.24%,,265152,264987,248858,284821,6.33%,3.24%,,,,,6.33%,,,,,,6.24%,,,,,,3.24%,,,,,,6.24%,,307281,307630,286917,327237,8.17%,5.02%,,,,,14.17%,,,,,,14.54%,,,,,,10.84%,,,,,,8.49%,,147495,147662,137720,157074,8.17%,5.02%,,,,,14.17%,,,,,,14.54%,,,,,,10.84%,,,,,,8.49%,,3732160,3718766,3506261,4002544,7.21%,4.08%,,,,,6.71%,,,,,,6.72%,,,,,,3.60%,,,,,,7.21%,,1386230,1381256,1302325,1486659,7.21%,4.08%,,,,,6.71%,,,,,,6.72%,,,,,,3.60%,,,,,,7.21%,
3,395636,396353,356353,437260,6.71%,4.31%,,,,,7.83%,,,,,,7.77%,,,,,,5.40%,,,,,,6.74%,,276579,276991,256834,297496,6.71%,4.31%,,,,,6.71%,,,,,,6.74%,,,,,,4.31%,,,,,,6.74%,,343292,344224,323247,367775,8.94%,6.49%,,,,,14.32%,,,,,,14.12%,,,,,,11.75%,,,,,,8.72%,,164780,165227,155158,176532,8.94%,6.49%,,,,,14.32%,,,,,,14.12%,,,,,,11.75%,,,,,,8.72%,,3905309,3908104,3617042,4205793,7.53%,5.11%,,,,,7.05%,,,,,,6.75%,,,,,,4.64%,,,,,,7.23%,,1450543,1451581,1343472,1562151,7.53%,5.11%,,,,,7.05%,,,,,,6.75%,,,,,,4.64%,,,,,,7.23%,
4,413014,409820,365833,459759,6.02%,3.64%,,,,,6.81%,,,,,,6.70%,,,,,,4.41%,,,,,,5.94%,,286620,285043,262931,310024,6.02%,3.64%,,,,,6.02%,,,,,,5.94%,,,,,,3.64%,,,,,,5.94%,,379673,378812,353091,403321,8.37%,5.93%,,,,,13.18%,,,,,,12.82%,,,,,,10.64%,,,,,,7.83%,,182243,181830,169483,193594,8.37%,5.93%,,,,,13.18%,,,,,,12.82%,,,,,,10.64%,,,,,,7.83%,,4065326,4051928,3751903,4376080,6.96%,4.55%,,,,,6.50%,,,,,,6.45%,,,,,,4.10%,,,,,,6.89%,,1509978,1505002,1393564,1625401,6.96%,4.55%,,,,,6.50%,,,,,,6.45%,,,,,,4.10%,,,,,,6.89%,
5,430711,430818,373821,491883,5.93%,3.55%,,,,,6.63%,,,,,,6.44%,,,,,,4.24%,,,,,,5.77%,,296872,297069,267987,328031,5.93%,3.55%,,,,,5.93%,,,,,,5.77%,,,,,,3.55%,,,,,,5.77%,,417114,415463,385743,450551,8.04%,5.61%,,,,,12.40%,,,,,,12.08%,,,,,,9.87%,,,,,,7.76%,,200214,199422,185156,216264,8.04%,5.61%,,,,,12.40%,,,,,,12.08%,,,,,,9.87%,,,,,,7.76%,,4224027,4211514,3812697,4622096,6.70%,4.30%,,,,,6.26%,,,,,,6.13%,,,,,,3.87%,,,,,,6.56%,,1568924,1564276,1416144,1716778,6.70%,4.30%,,,,,6.26%,,,,,,6.13%,,,,,,3.87%,,,,,,6.56%,
6,450877,447388,387961,530186,6.26%,3.87%,,,,,7.06%,,,,,,6.33%,,,,,,4.65%,,,,,,5.74%,,308434,306659,276711,348555,6.26%,3.87%,,,,,6.26%,,,,,,5.74%,,,,,,3.87%,,,,,,5.74%,,456676,450932,421144,506582,8.04%,5.61%,,,,,12.01%,,,,,,11.71%,,,,,,9.49%,,,,,,7.61%,,219204,216447,202149,243159,8.04%,5.61%,,,,,12.01%,,,,,,11.71%,,,,,,9.49%,,,,,,7.61%,,4402823,4380364,3960632,4960864,7.05%,4.64%,,,,,6.62%,,,,,,6.10%,,,,,,4.23%,,,,,,6.55%,,1635334,1626992,1471092,1842606,7.05%,4.64%,,,,,6.62%,,,,,,6.10%,,,,,,4.23%,,,,,,6.55%,
7,474231,464036,405956,570594,6.69%,4.30%,,,,,7.61%,,,,,,7.53%,,,,,,5.19%,,,,,,6.65%,,321684,316661,287288,370093,6.69%,4.30%,,,,,6.69%,,,,,,6.65%,,,,,,4.30%,,,,,,6.65%,,499261,493243,462431,556274,8.26%,5.82%,,,,,11.89%,,,,,,12.07%,,,,,,9.37%,,,,,,8.35%,,239645,236756,221967,267011,8.26%,5.82%,,,,,11.89%,,,,,,12.07%,,,,,,9.37%,,,,,,8.35%,,4611055,4559763,4122367,5312864,7.55%,5.13%,,,,,7.14%,,,,,,7.27%,,,,,,4.73%,,,,,,7.70%,,1712677,1693626,1531165,1973349,7.55%,5.13%,,,,,7.14%,,,,,,7.27%,,,,,,4.73%,,,,,,7.70%,
8,500909,495296,423388,602814,7.10%,4.69%,,,,,8.10%,,,,,,7.92%,,,,,,5.67%,,,,,,7.05%,,336706,333891,297598,388355,7.10%,4.69%,,,,,7.10%,,,,,,7.05%,,,,,,4.69%,,,,,,7.05%,,547199,537161,501014,606298,8.82%,6.37%,,,,,12.13%,,,,,,11.90%,,,,,,9.61%,,,,,,8.73%,,262655,257837,240486,291023,8.82%,6.37%,,,,,12.13%,,,,,,11.90%,,,,,,9.61%,,,,,,8.73%,,4845071,4804705,4258024,5578323,7.88%,5.46%,,,,,7.50%,,,,,,7.32%,,,,,,5.08%,,,,,,7.70%,,1799598,1784604,1581552,2071948,7.88%,5.46%,,,,,7.50%,,,,,,7.32%,,,,,,5.08%,,,,,,7.70%,
9,526297,521608,437243,629950,6.65%,4.25%,,,,,7.44%,,,,,,7.25%,,,,,,5.03%,,,,,,6.45%,,351120,348618,305812,403243,6.65%,4.25%,,,,,6.65%,,,,,,6.45%,,,,,,4.25%,,,,,,6.45%,,597565,592593,536752,660785,8.67%,6.23%,,,,,11.70%,,,,,,11.37%,,,,,,9.19%,,,,,,8.37%,,286831,284444,257641,317177,8.67%,6.23%,,,,,11.70%,,,,,,11.37%,,,,,,9.19%,,,,,,8.37%,,5072954,5007239,4412238,5822784,7.45%,5.03%,,,,,7.07%,,,,,,6.74%,,,,,,4.67%,,,,,,7.13%,,1884240,1859831,1638831,2162748,7.45%,5.03%,,,,,7.07%,,,,,,6.74%,,,,,,4.67%,,,,,,7.13%,
10,553604,551520,457978,661599,6.80%,4.40%,,,,,7.61%,,,,,,7.51%,,,,,,5.19%,,,,,,6.59%,,366586,366082,317938,421461,6.80%,4.40%,,,,,6.80%,,,,,,6.59%,,,,,,4.40%,,,,,,6.59%,,650888,637217,577187,740185,8.68%,6.23%,,,,,11.46%,,,,,,11.63%,,,,,,8.95%,,,,,,8.99%,,312426,305864,277050,355289,8.68%,6.23%,,,,,11.46%,,,,,,11.63%,,,,,,8.95%,,,,,,8.99%,,5320570,5255944,4526393,6137556,7.63%,5.21%,,,,,7.28%,,,,,,7.31%,,,,,,4.87%,,,,,,7.70%,,1976211,1952207,1681231,2279663,7.63%,5.21%,,,,,7.28%,,,,,,7.31%,,,,,,4.87%,,,,,,7.70%,
11,582750,579860,477786,679483,7.05%,4.54%,,,,,7.87%,,,,,,7.34%,,,,,,5.34%,,,,,,6.61%,,383076,381836,330080,432835,7.05%,4.54%,,,,,7.05%,,,,,,6.61%,,,,,,4.54%,,,,,,6.61%,,706156,698900,634382,791071,8.56%,6.02%,,,,,11.12%,,,,,,10.80%,,,,,,8.52%,,,,,,8.40%,,338955,335472,304503,379714,8.56%,6.02%,,,,,11.12%,,,,,,10.80%,,,,,,8.52%,,,,,,8.40%,,5584127,5528959,4835721,6361753,7.83%,5.31%,,,,,7.49%,,,,,,6.99%,,,,,,4.98%,,,,,,7.30%,,2074104,2053613,1796125,2362936,7.83%,5.31%,,,,,7.49%,,,,,,6.99%,,,,,,4.98%,,,,,,7.30%,
12,608326,609516,490840,710116,6.35%,3.86%,,,,,6.95%,,,,,,6.57%,,,,,,4.44%,,,,,,6.00%,,397758,398751,337345,449802,6.35%,3.86%,,,,,6.35%,,,,,,6.00%,,,,,,3.86%,,,,,,6.00%,,762183,759655,673380,861347,8.25%,5.71%,,,,,10.61%,,,,,,10.10%,,,,,,8.01%,,,,,,7.83%,,365848,364634,323222,413446,8.25%,5.71%,,,,,10.61%,,,,,,10.10%,,,,,,8.01%,,,,,,7.83%,,5822992,5840919,4949272,6605967,7.13%,4.62%,,,,,6.81%,,,,,,6.49%,,,,,,4.30%,,,,,,6.81%,,2162825,2169484,1838301,2453644,7.13%,4.62%,,,,,6.81%,,,,,,6.49%,,,,,,4.30%,,,,,,6.81%,
13,640364,638380,517936,752318,7.10%,4.59%,,,,,7.86%,,,,,,8.18%,,,,,,5.33%,,,,,,7.42%,,415881,414711,353645,473938,7.10%,4.59%,,,,,7.10%,,,,,,7.42%,,,,,,4.59%,,,,,,7.42%,,827889,818858,740421,935724,9.12%,6.56%,,,,,11.30%,,,,,,10.94%,,,,,,8.69%,,,,,,8.86%,,397386,393051,355402,449147,9.12%,6.56%,,,,,11.30%,,,,,,10.94%,,,,,,8.69%,,,,,,8.86%,,6113221,6147396,5211490,7002093,7.83%,5.31%,,,,,7.52%,,,,,,7.93%,,,,,,5.00%,,,,,,8.23%,,2270625,2283318,1935696,2600777,7.83%,5.31%,,,,,7.52%,,,,,,7.93%,,,,,,5.00%,,,,,,8.23%,
14,668641,667691,543567,803558,6.42%,3.93%,,,,,6.98%,,,,,,6.92%,,,,,,4.47%,,,,,,6.40%,,432091,431253,367933,501694,6.42%,3.93%,,,,,6.42%,,,,,,6.40%,,,,,,3.93%,,,,,,6.40%,,890484,883290,784433,1003110,8.17%,5.63%,,,,,10.18%,,,,,,10.09%,,,,,,7.60%,,,,,,8.10%,,427432,423979,376528,481493,8.17%,5.63%,,,,,10.18%,,,,,,10.09%,,,,,,7.60%,,,,,,8.10%,,6380214,6399479,5395992,7400830,7.21%,4.70%,,,,,6.92%,,,,,,7.08%,,,,,,4.41%,,,,,,7.39%,,2369793,2376949,2004225,2748879,7.21%,4.70%,,,,,6.92%,,,,,,7.08%,,,,,,4.41%,,,,,,7.39%,
15,850798,846446,707793,981453,6.72%,4.22%,,,,,30.80%,,,,,,31.15%,,,,,,27.73%,,,,,,6.39%,,450397,447898,376733,517589,6.72%,4.22%,,,,,6.72%,,,,,,6.39%,,,,,,4.22%,,,,,,6.39%,,957314,952797,840910,1088493,8.19%,5.65%,,,,,10.06%,,,,,,9.89%,,,,,,7.48%,,,,,,8.08%,,459510,457342,403637,522476,8.19%,5.65%,,,,,10.06%,,,,,,9.89%,,,,,,7.48%,,,,,,8.08%,,6531834,6540525,5434943,7517559,7.49%,4.97%,,,,,4.76%,,,,,,4.50%,,,,,,2.31%,,,,,,7.11%,,2481824,2485052,2074407,2847950,7.49%,4.97%,,,,,7.21%,,,,,,6.83%,,,,,,4.69%,,,,,,7.11%,
16,875938,870313,732020,1025918,5.70%,3.22%,,,,,5.39%,,,,,,6.18%,,,,,,2.92%,,,,,,6.49%,,465048,463200,390948,541644,5.70%,3.22%,,,,,5.70%,,,,,,6.49%,,,,,,3.22%,,,,,,6.49%,,1022312,1018466,891107,1177028,7.60%,5.08%,,,,,9.34%,,,,,,9.80%,,,,,,6.78%,,,,,,8.14%,,490709,488863,427731,564973,7.60%,5.08%,,,,,9.34%,,,,,,9.80%,,,,,,6.78%,,,,,,8.14%,,6785353,6685025,5629970,7882437,6.53%,4.03%,,,,,6.34%,,,,,,6.93%,,,,,,3.85%,,,,,,7.09%,,2575988,2538723,2146846,2983476,6.53%,4.03%,,,,,6.25%,,,,,,6.83%,,,,,,3.76%,,,,,,7.09%,
